nivel1,nivel2,nivel3,orders_ref,gfv_ref,qty_ref,incent_ref,orders_act,gfv_act,qty_act,incent_act,delta_gfv,share_act_orders_country,share_ref_orders_country,share_act_orders_local,share_ref_orders_local
COCINA,Food,Comida Armenia,10952,8856516.29,25447,29212.79655737705,12620,10190446.379999999,30284,77269.94557377048,1333930.0899999999,0.010351695151600657,0.009174650086619688,0.014892542400083078,0.013279400923447019
COCINA,Food,Comida China,8148,7260691.79,17125,73937.86049180327,8646,7548492.72,18136,80451.76836065574,287800.9299999997,0.00709197751828362,0.0068256984026458375,0.01020292564113457,0.009879525084390642
COCINA,Food,Comida Japonesa,457,426704.14,751,8707.97606557377,436,393944.0799999999,767,7711.514426229508,-32760.060000000114,0.0003576338420045869,0.00038283556332954684,0.0005145125583546927,0.0005541167112870058
COCINA,Food,Comida Mexicana,8012,6309424.629999999,14315,129426.33311475409,7603,6277577.39,14003,125485.23983606561,-31847.239999999292,0.0062364451852313625,0.006711769219685622,0.008972107754978736,0.009714623831141116
COCINA,Food,Comida Vegana,1783,1247059.0,3342,6908.196721311477,1805,1299815.0,3564,6270.491803278689,52756.0,0.0014805712954547691,0.0014936450971916456,0.0021300347886014227,0.0021619039304698715
COCINA,Food,Comida Vegetariana,8029,5357773.24,15310,59184.9662295082,8644,5697270.29,17061,67500.07196721312,339497.0499999998,0.00709033699607259,0.006726010367555649,0.01020056549178432,0.009735236487797307
COCINA,Food,Comida Venezolana,7259,5278519.249999999,12681,17920.16393442623,7331,5389800.750000002,12892,18626.229508196724,111281.5000000028,0.006013334164531254,0.0060809701405014896,0.008651127443344614,0.008801604392193381
COCINA,Food,Empanadas,46569,33416211.840000004,168262,506399.4601639346,46718,32910360.01000001,161206,528205.1636065575,-505851.8299999945,0.038320958327454795,0.03901153030348724,0.0551307286725104,0.05646534163659644
COCINA,Food,Ensaladas,9472,5518670.35,13677,39122.950819672136,9572,5542461.300000001,13929,53709.30655737705,23790.950000001118,0.007851539301990609,0.007934832507346758,0.01129567479030073,0.011484887285143366
COCINA,Food,Hamburguesas,194585,142194479.33,339802,1652838.9498360672,194682,142678188.09999993,331472,1080925.6463934386,483708.7699999213,0.15969007254389217,0.16300669166406975,0.22973929790277128,0.23593610561440267
COCINA,Food,Helados,73154,45909514.08,106151,241990.45836065576,78125,48473348.83,112205,219040.90163934426,2563834.75,0.06408289886836778,0.06128217242846755,0.09219333399417515,0.0886998991192333
COCINA,Food,Licuados y Jugos,2300,1340188.0,4510,9318.44262295082,1421,848991.0,2919,10968.032786885247,-491197.0,0.001165591030936968,0.0019267435353565816,0.001676886113353253,0.0027887711946610796
COCINA,Food,Milanesas,69638,53251807.459999986,106918,626097.1544262301,68771,52769729.25999999,105902,578808.4649180329,-482078.19999999553,0.05641017648737946,0.05833676796311375,0.08115491548305177,0.08443671671904707
COCINA,Food,Panaderías,18747,8599510.79,63058,20962.04918032787,19055,8751769.95,63566,19943.44262295082,152259.16000000015,0.015630075365590374,0.01570463524231732,0.022486322934515295,0.022730910254917937
COCINA,Food,Panchos,5843,4520094.0,14906,5440.163934426229,6920,5505563.7,18893,9638.524590163934,985469.7000000002,0.005676206850164544,0.004894766294386307,0.008166116751868058,0.007084691343654212
COCINA,Food,Pastas,15844,10591950.940000001,31817,48159.83606557378,18092,11839868.059999999,36208,58070.59360655738,1247917.1199999973,0.014840163920979326,0.013272749814865079,0.021349911022369494,0.019210996003569628
